index,time_start_ms,time_end_ms,sfd,sfd_corr,psdu,fcs,recovered
254,447.403323,447.588139,"IEEE 802.15.4z SFD #2",0.8558,14,1,1
255,447.674590,447.859406,"IEEE 802.15.4z SFD #2",0.8558,14,1,1
256,447.945856,448.130672,"IEEE 802.15.4z SFD #2",0.8558,14,1,1
257,448.217125,448.401941,"IEEE 802.15.4z SFD #2",0.8558,14,1,1
258,452.286136,452.468852,"IEEE 802.15.4z SFD #2",0.6748,12,0,1
259,452.557402,452.742217,"IEEE 802.15.4z SFD #2",0.8437,14,1,1
260,452.828669,453.013485,"IEEE 802.15.4z SFD #2",0.8437,14,1,1
261,453.099938,453.282654,"IEEE 802.15.4z SFD #2",0.6748,12,0,1
262,458.235390,458.415243,"IEEE 802.15.4z SFD #2",0.5322,8,0,0
263,463.225016,463.411023,"IEEE 802.15.4z SFD #2",0.8150,14,0,0
264,467.374580,467.559395,"IEEE 802.15.4z SFD #2",0.8583,14,1,1
265,467.645848,467.830664,"IEEE 802.15.4z SFD #2",0.8583,14,1,1
266,467.917116,468.101933,"IEEE 802.15.4z SFD #2",0.8488,14,1,1
267,468.188382,468.373197,"IEEE 802.15.4z SFD #2",0.8583,14,1,1
268,473.228098,473.414105,"IEEE 802.15.4z SFD #2",0.8415,14,1,0
269,478.258827,478.499193,"IEEE 802.15.4z SFD #2",0.6220,61,0,0
270,482.191482,482.376298,"IEEE 802.15.4z SFD #2",0.8668,14,1,1
271,482.462750,482.647565,"IEEE 802.15.4z SFD #2",0.8668,14,1,1
272,482.734018,482.918835,"IEEE 802.15.4z SFD #2",0.8543,14,1,1
273,483.005284,483.190100,"IEEE 802.15.4z SFD #2",0.8668,14,1,1
274,483.276552,483.461367,"IEEE 802.15.4z SFD #2",0.8668,14,1,1
275,488.358088,488.544093,"IEEE 802.15.4z SFD #2",0.8409,14,1,0
276,493.229225,493.415229,"IEEE 802.15.4z SFD #2",0.6119,14,0,0
277,497.378786,497.563601,"IEEE 802.15.4z SFD #2",0.8544,14,1,1
278,497.650054,497.834871,"IEEE 802.15.4z SFD #2",0.8503,14,1,1
279,498.192588,498.377403,"IEEE 802.15.4z SFD #2",0.8544,14,1,1
280,502.261598,502.446414,"IEEE 802.15.4z SFD #2",0.8666,14,1,1
281,502.532867,502.717683,"IEEE 802.15.4z SFD #2",0.8510,14,1,1
282,502.804133,502.988949,"IEEE 802.15.4z SFD #2",0.8666,14,1,1
283,503.075400,503.260216,"IEEE 802.15.4z SFD #2",0.8666,14,1,1
284,503.346669,503.531485,"IEEE 802.15.4z SFD #2",0.8510,14,1,1
285,507.415678,507.600494,"IEEE 802.15.4z SFD #2",0.8123,14,1,1
286,507.958214,508.143031,"IEEE 802.15.4z SFD #2",0.8316,14,1,1
287,508.229480,508.414296,"IEEE 802.15.4z SFD #2",0.8123,14,1,1
288,517.723838,517.908653,"IEEE 802.15.4z SFD #2",0.8672,14,1,1
289,517.995106,518.179922,"IEEE 802.15.4z SFD #2",0.8672,14,1,1
290,523.323280,523.509285,"IEEE 802.15.4z SFD #2",0.8665,14,1,0
291,527.201575,527.386391,"IEEE 802.15.4z SFD #2",0.8543,14,1,1
292,527.472843,527.657659,"IEEE 802.15.4z SFD #2",0.8543,14,1,1
293,527.744111,527.928928,"IEEE 802.15.4z SFD #2",0.8522,14,1,1
294,528.015377,528.200193,"IEEE 802.15.4z SFD #2",0.8543,14,1,1
295,528.286646,528.471461,"IEEE 802.15.4z SFD #2",0.8543,14,1,1
296,533.229833,533.415841,"IEEE 802.15.4z SFD #2",0.7606,14,0,0
297,537.379399,537.564214,"IEEE 802.15.4z SFD #2",0.8696,14,1,1
298,537.650666,537.835483,"IEEE 802.15.4z SFD #2",0.8607,14,1,1
299,537.921932,538.106746,"IEEE 802.15.4z SFD #2",0.6484,14,0,1
300,538.193201,538.378016,"IEEE 802.15.4z SFD #2",0.8696,14,1,1
301,542.262211,542.447027,"IEEE 802.15.4z SFD #2",0.8638,14,1,1
302,542.533478,542.718296,"IEEE 802.15.4z SFD #2",0.8476,14,1,1
303,542.804744,542.989560,"IEEE 802.15.4z SFD #2",0.8637,14,1,1
304,543.076013,543.260829,"IEEE 802.15.4z SFD #2",0.8638,14,1,1
305,543.347281,543.532098,"IEEE 802.15.4z SFD #2",0.8476,14,1,1
306,548.259521,548.445527,"IEEE 802.15.4z SFD #2",0.8450,14,1,0
307,552.409085,552.581295,"IEEE 802.15.4z SFD #2",0.6626,2,0,1
308,552.680352,552.865168,"IEEE 802.15.4z SFD #2",0.8070,14,0,1
309,552.951618,553.136434,"IEEE 802.15.4z SFD #2",0.8051,14,0,1
310,553.222887,553.395097,"IEEE 802.15.4z SFD #2",0.6626,2,0,1
311,557.563165,557.747980,"IEEE 802.15.4z SFD #2",0.8463,14,1,1
312,557.834431,558.019246,"IEEE 802.15.4z SFD #2",0.8639,14,1,1
313,562.445976,562.630792,"IEEE 802.15.4z SFD #2",0.8680,14,1,1
314,562.717244,562.902060,"IEEE 802.15.4z SFD #2",0.8680,14,1,1
315,562.988512,563.173329,"IEEE 802.15.4z SFD #2",0.8559,14,1,1
316,563.259778,563.444594,"IEEE 802.15.4z SFD #2",0.8680,14,1,1
317,567.328788,567.513604,"IEEE 802.15.4z SFD #2",0.8291,14,1,1
318,567.600057,567.784874,"IEEE 802.15.4z SFD #2",0.8220,14,1,1
319,568.142590,568.327406,"IEEE 802.15.4z SFD #2",0.8291,14,1,1
320,573.308782,573.494790,"IEEE 802.15.4z SFD #2",0.6294,14,0,0
321,577.458348,577.643164,"IEEE 802.15.4z SFD #2",0.8706,14,1,1
322,578.000883,578.185699,"IEEE 802.15.4z SFD #2",0.8260,14,0,1
323,578.272150,578.456966,"IEEE 802.15.4z SFD #2",0.8706,14,1,1
324,582.341159,582.525975,"IEEE 802.15.4z SFD #2",0.8497,14,1,1
325,582.612428,582.797244,"IEEE 802.15.4z SFD #2",0.8497,14,1,1
326,582.883695,583.068513,"IEEE 802.15.4z SFD #2",0.8407,14,1,1
327,583.154961,583.339777,"IEEE 802.15.4z SFD #2",0.8497,14,1,1
328,587.495241,587.680058,"IEEE 802.15.4z SFD #2",0.8295,14,1,1
329,587.766508,587.951324,"IEEE 802.15.4z SFD #2",0.8310,14,1,1
330,588.309043,588.493860,"IEEE 802.15.4z SFD #2",0.8295,14,1,1
331,593.231482,593.416465,"IEEE 802.15.4z SFD #2",0.5623,13,0,0
332,597.380023,597.564838,"IEEE 802.15.4z SFD #2",0.8626,14,1,1
333,597.651290,597.836106,"IEEE 802.15.4z SFD #2",0.8626,14,1,1
334,597.922557,598.107373,"IEEE 802.15.4z SFD #2",0.8473,14,1,1
335,598.193825,598.378640,"IEEE 802.15.4z SFD #2",0.8626,14,1,1
336,603.314296,603.500302,"IEEE 802.15.4z SFD #2",0.8421,14,1,0
